"Date","Price","Open","High","Low","Change %"
"Feb 26, 2017","8.4641","8.5071","8.5080","8.4641","-0.47%"
"Feb 27, 2017","8.4455","8.4646","8.5194","8.3811","-0.22%"
"Feb 28, 2017","8.4905","8.4529","8.5169","8.4177","0.53%"
"Mar 01, 2017","8.4762","8.4902","8.5118","8.4299","-0.17%"
"Mar 02, 2017","8.5374","8.4679","8.5546","8.4608","0.72%"
"Mar 03, 2017","8.4425","8.5406","8.5528","8.4252","-1.11%"
"Mar 05, 2017","8.4290","8.4449","8.4449","8.4290","-0.16%"
"Mar 06, 2017","8.4367","8.4418","8.5250","8.4036","0.09%"
"Mar 07, 2017","8.4263","8.4391","8.4586","8.3908","-0.12%"
"Mar 08, 2017","8.4095","8.4286","8.4346","8.4095","-0.20%"
"Mar 09, 2017","8.5919","8.4169","8.6121","8.4048","2.17%"
"Mar 10, 2017","8.5424","8.5814","8.5997","8.4974","-0.58%"
"Mar 12, 2017","8.6033","8.5942","8.6033","8.5430","0.71%"
"Mar 13, 2017","8.4978","8.6033","8.6462","8.4978","-1.23%"
"Mar 14, 2017","8.5627","8.5044","8.6202","8.4908","0.76%"
"Mar 15, 2017","8.4407","8.5561","8.5654","8.4407","-1.42%"
"Mar 16, 2017","8.3737","8.4457","8.4928","8.3543","-0.79%"
"Mar 17, 2017","8.2958","8.3771","8.4029","8.2745","-0.93%"
"Mar 19, 2017","8.2965","8.2809","8.2965","8.2809","0.01%"
"Mar 20, 2017","8.2897","8.2875","8.3609","8.2858","-0.08%"
"Mar 21, 2017","8.3839","8.2966","8.3839","8.2745","1.14%"
"Mar 22, 2017","8.3995","8.3802","8.4536","8.3462","0.19%"
"Mar 23, 2017","8.3443","8.3955","8.4011","8.3272","-0.66%"
"Mar 24, 2017","8.2603","8.3408","8.3443","8.2603","-1.01%"
"Mar 26, 2017","8.3018","8.2605","8.3018","8.2605","0.50%"
"Mar 27, 2017","8.2898","8.3002","8.3359","8.2516","-0.14%"
"Mar 28, 2017","8.2939","8.2820","8.3116","8.2543","0.05%"
"Mar 29, 2017","8.2106","8.2906","8.2926","8.2106","-1.00%"
"Mar 30, 2017","8.1325","8.2175","8.2183","8.1168","-0.95%"
"Mar 31, 2017","8.1693","8.1417","8.2039","8.1098","0.45%"
"Apr 02, 2017","8.1809","8.1651","8.1809","8.1651","0.14%"
"Apr 03, 2017","8.1455","8.1771","8.1975","8.1239","-0.43%"
"Apr 04, 2017","8.1475","8.1466","8.2359","8.1378","0.02%"
"Apr 05, 2017","8.1830","8.1441","8.1830","8.1005","0.43%"
"Apr 06, 2017","8.1759","8.1775","8.1955","8.1417","-0.09%"
"Apr 07, 2017","8.3023","8.1755","8.3023","8.1659","1.55%"
"Apr 09, 2017","8.2843","8.2916","8.2961","8.2843","-0.22%"
"Apr 10, 2017","8.2938","8.2892","8.3308","8.2566","0.11%"
"Apr 11, 2017","8.2698","8.2823","8.2994","8.2353","-0.29%"
"Apr 12, 2017","8.2034","8.2598","8.2823","8.2034","-0.80%"
"Apr 13, 2017","8.1684","8.2133","8.2364","8.1514","-0.43%"
"Apr 14, 2017","8.1687","8.1698","8.1993","8.1510","0.00%"
"Apr 16, 2017","8.1727","8.1818","8.1846","8.1727","0.05%"
"Apr 17, 2017","8.1438","8.1775","8.2050","8.1101","-0.35%"
"Apr 18, 2017","8.1751","8.1415","8.1751","8.1061","0.38%"
"Apr 19, 2017","8.2180","8.1722","8.2363","8.1405","0.52%"
"Apr 20, 2017","8.1682","8.2163","8.2326","8.1399","-0.61%"
"Apr 21, 2017","8.1918","8.1669","8.2259","8.1388","0.29%"
"Apr 23, 2017","8.3080","8.3485","8.3485","8.3080","1.42%"
"Apr 24, 2017","8.1094","8.3114","8.3374","8.0945","-2.39%"
"Apr 25, 2017","8.1561","8.1114","8.1965","8.0990","0.58%"
"Apr 26, 2017","8.2918","8.1603","8.3125","8.1477","1.66%"
"Apr 27, 2017","8.2519","8.2922","8.3178","8.2290","-0.48%"
"Apr 28, 2017","8.2605","8.2596","8.2829","8.2141","0.10%"
"Apr 30, 2017","8.2283","8.2398","8.2546","8.2283","-0.39%"
"May 01, 2017","8.2641","8.2355","8.2641","8.2188","0.43%"
"May 02, 2017","8.2730","8.2577","8.2905","8.2333","0.11%"
"May 03, 2017","8.3171","8.2698","8.3360","8.2660","0.53%"
"May 04, 2017","8.4639","8.3188","8.5037","8.3135","1.76%"
"May 05, 2017","8.3912","8.4646","8.5211","8.3912","-0.86%"
"May 07, 2017","8.4156","8.4592","8.4595","8.4156","0.29%"
"May 08, 2017","8.3889","8.4156","8.4175","8.3659","-0.32%"
"May 09, 2017","8.3947","8.3918","8.3957","8.3770","0.07%"
"May 10, 2017","8.3325","8.3887","8.4490","8.3154","-0.74%"
"May 11, 2017","8.2660","8.3225","8.3281","8.2492","-0.80%"
"May 12, 2017","8.2707","8.2640","8.3073","8.2551","0.06%"
"May 14, 2017","8.2690","8.2751","8.2775","8.2690","-0.02%"
"May 15, 2017","8.1742","8.2716","8.2815","8.1569","-1.15%"
"May 16, 2017","8.2202","8.1735","8.2202","8.1531","0.56%"
"May 17, 2017","8.3001","8.2119","8.3607","8.2073","0.97%"
"May 18, 2017","8.3609","8.2963","8.4408","8.2777","0.73%"
"May 19, 2017","8.2753","8.3584","8.3740","8.2177","-1.02%"
"May 21, 2017","8.3102","8.2695","8.3102","8.2695","0.42%"
"May 22, 2017","8.2194","8.3050","8.3056","8.1854","-1.09%"
"May 23, 2017","8.1801","8.2248","8.2580","8.1613","-0.48%"
"May 24, 2017","8.1887","8.1792","8.2098","8.1627","0.10%"
"May 25, 2017","8.3025","8.1869","8.3025","8.1510","1.39%"
"May 26, 2017","8.2368","8.2939","8.3159","8.2368","-0.79%"
"May 28, 2017","8.2495","8.2443","8.2495","8.2403","0.15%"
"May 29, 2017","8.2270","8.2420","8.2887","8.2067","-0.27%"
"May 30, 2017","8.2477","8.2384","8.2833","8.2333","0.25%"
"May 31, 2017","8.3063","8.2475","8.3544","8.2456","0.71%"
"Jun 01, 2017","8.2831","8.3035","8.3360","8.2461","-0.28%"
"Jun 02, 2017","8.3087","8.2823","8.3385","8.2706","0.31%"
"Jun 04, 2017","8.3178","8.3144","8.3178","8.3093","0.11%"
"Jun 05, 2017","8.3203","8.3144","8.3664","8.3014","0.03%"
"Jun 06, 2017","8.3212","8.3204","8.3532","8.2955","0.01%"
"Jun 07, 2017","8.4009","8.3190","8.4506","8.3163","0.96%"
"Jun 08, 2017","8.3701","8.3987","8.4091","8.3527","-0.37%"
"Jun 09, 2017","8.3918","8.3684","8.3918","8.3597","0.26%"
"Jun 11, 2017","8.4119","8.3874","8.4119","8.3874","0.24%"
"Jun 12, 2017","8.3825","8.4039","8.4148","8.3825","-0.35%"
"Jun 13, 2017","8.3775","8.3865","8.3945","8.3554","-0.06%"
"Jun 14, 2017","8.4582","8.3828","8.4772","8.3663","0.96%"
"Jun 15, 2017","8.5044","8.4566","8.5044","8.4267","0.55%"
"Jun 16, 2017","8.4825","8.5001","8.5159","8.4309","-0.26%"
"Jun 18, 2017","8.4848","8.4919","8.4935","8.4848","0.03%"
"Jun 19, 2017","8.5827","8.4914","8.5827","8.4662","1.15%"
"Jun 20, 2017","8.7414","8.5710","8.7543","8.5502","1.85%"
"Jun 21, 2017","8.8248","8.7326","8.8489","8.6929","0.95%"
"Jun 22, 2017","8.7670","8.8316","8.8593","8.7333","-0.65%"
"Jun 23, 2017","8.6987","8.7706","8.7789","8.6800","-0.78%"
"Jun 25, 2017","8.6924","8.6886","8.6924","8.6874","-0.07%"
"Jun 26, 2017","8.5907","8.6905","8.7306","8.5907","-1.17%"
"Jun 27, 2017","8.7353","8.5945","8.7353","8.5876","1.68%"
"Jun 28, 2017","8.7002","8.7320","8.8020","8.7002","-0.40%"
"Jun 29, 2017","8.7688","8.7050","8.7866","8.6895","0.79%"
"Jun 30, 2017","8.6974","8.7538","8.7883","8.6789","-0.82%"
"Jul 02, 2017","8.6971","8.6949","8.6971","8.6903","-0.00%"
"Jul 03, 2017","8.7179","8.6954","8.7511","8.6735","0.24%"
"Jul 04, 2017","8.7333","8.7177","8.7481","8.6972","0.18%"
"Jul 05, 2017","8.8229","8.7373","8.8639","8.7268","1.03%"
"Jul 06, 2017","8.8458","8.8216","8.8767","8.7893","0.26%"
"Jul 07, 2017","8.8721","8.8458","8.9095","8.8397","0.30%"
"Jul 09, 2017","8.8726","8.8694","8.8726","8.8645","0.01%"
"Jul 10, 2017","8.8653","8.8722","8.8960","8.8471","-0.08%"
