history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
RTSI;RTSI;2019-10-23;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1392,47;1382,83;1392,47;1377,96;956794035,503;0;0;2;173617530237;USD;124683177,747000
RTSI;RTSI;2019-10-22;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1387,68;1367,67;1387,68;1366,73;869421929,82;0;0;2;173019789857;USD;124683177,747000
RTSI;RTSI;2019-10-21;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1365,14;1363,43;1369,06;1358,17;677398733,165;0;0;2;170209745463;USD;124683177,747000
RTSI;RTSI;2019-10-18;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1355,27;1350,05;1358,63;1349,15;583793702,848;0;0;2;168978878874;USD;124683177,747000
RTSI;RTSI;2019-10-17;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1353,49;1349,24;1356,29;1346,76;702906086,166;0;0;2;168757853446;USD;124683177,747000
RTSI;RTSI;2019-10-16;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1347,43;1330,57;1348,18;1329,73;885799807,048;0;0;2;168002345072;USD;124683177,747000
RTSI;RTSI;2019-10-15;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1331,03;1321,24;1331,78;1318,35;658465742,091;0;0;2;165957353599;USD;124683177,747000
RTSI;RTSI;2019-10-14;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1321,13;1329,57;1332,28;1319,31;567382772,436;0;0;2;164722479199;USD;124683177,747000
RTSI;RTSI;2019-10-11;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1329,63;1330,97;1341,7;1328,41;759016969,253;0;0;2;165782443640;USD;124683177,747000
RTSI;RTSI;2019-10-10;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1330,92;1315,34;1330,92;1310,39;491589368,457;0;0;2;165942875656;USD;124683177,747000
RTSI;RTSI;2019-10-09;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1317,48;1306,81;1321,83;1306,26;551216265,109;0;0;2;164267210959;USD;124683177,747000
RTSI;RTSI;2019-10-08;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1306,39;1319,14;1324,76;1303,64;504845326,414;0;0;2;162884916730;USD;124683177,747000
RTSI;RTSI;2019-10-07;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1320,25;1313,9;1322,26;1305,05;514783758,217;0;0;2;164612749427;USD;124683177,747000
RTSI;RTSI;2019-10-04;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1311,65;1309,73;1319,88;1309,15;521000110,918;0;0;2;163540603087;USD;124683177,747000
RTSI;RTSI;2019-10-03;Θνδεκρ ΠÒΡ;Θνδεκρ ΠÒΡ;1307,01;1313,97;1317,66;1300,45;664222319,256;0;0;2;162962546075;USD;124683177,747000
