"Date","Price","Open","High","Low","Change %"
"Aug 10, 2018","67.7061","66.6899","67.8935","66.5523","1.52%"
"Aug 13, 2018","67.8125","67.7061","68.4780","67.4643","0.16%"
"Aug 14, 2018","66.3370","67.8125","67.8125","66.3200","-2.18%"
"Aug 15, 2018","67.2998","66.3370","67.7464","66.2512","1.45%"
"Aug 16, 2018","66.8308","67.2998","67.2998","66.6444","-0.70%"
"Aug 17, 2018","67.0448","66.8308","67.6099","66.7932","0.32%"
"Aug 20, 2018","67.1083","67.0448","67.3410","67.0048","0.09%"
"Aug 21, 2018","67.2698","67.1083","67.6008","66.8678","0.24%"
"Aug 22, 2018","68.0280","67.2698","68.4353","67.2698","1.13%"
"Aug 23, 2018","68.1905","68.0280","69.0008","67.4503","0.24%"
"Aug 24, 2018","67.0894","68.1905","68.1908","67.0726","-1.61%"
"Aug 27, 2018","67.5231","67.0894","67.6596","66.9968","0.65%"
"Aug 28, 2018","67.8700","67.5231","67.9103","67.2532","0.51%"
"Aug 29, 2018","67.9422","67.8700","68.3828","67.7224","0.11%"
"Aug 30, 2018","68.2441","67.9422","68.3897","67.7915","0.44%"
"Aug 31, 2018","67.5458","68.2441","68.2441","67.3269","-1.02%"
"Sep 03, 2018","68.1184","67.5458","68.1643","67.5458","0.85%"
"Sep 04, 2018","68.1158","68.1184","68.4754","67.9946","-0.00%"
"Sep 05, 2018","68.2578","68.1158","68.5643","68.1100","0.21%"
"Sep 06, 2018","69.2575","68.2578","69.6144","68.1881","1.46%"
"Sep 07, 2018","69.9025","69.2575","69.9393","68.8423","0.93%"
"Sep 10, 2018","70.5613","69.9025","70.5896","69.7231","0.94%"
"Sep 11, 2018","69.4245","70.5613","70.5650","69.4095","-1.61%"
"Sep 12, 2018","69.0146","69.4245","69.7926","68.6745","-0.59%"
"Sep 13, 2018","68.2455","69.0146","69.0325","67.9675","-1.11%"
"Sep 14, 2018","68.0749","68.2455","68.5235","67.4785","-0.25%"
"Sep 17, 2018","68.0636","68.0749","68.3598","67.9392","-0.02%"
"Sep 18, 2018","67.3648","68.0636","68.0641","67.3173","-1.03%"
"Sep 19, 2018","66.8168","67.3648","67.3725","66.6969","-0.81%"
"Sep 20, 2018","66.2735","66.8168","66.8300","66.2108","-0.81%"
"Sep 21, 2018","66.4138","66.2735","66.7966","66.1328","0.21%"
"Sep 24, 2018","65.8465","66.4138","66.4138","65.6945","-0.85%"
"Sep 25, 2018","65.8789","65.8465","65.9896","65.5373","0.05%"
"Sep 26, 2018","65.8054","65.8789","66.0895","65.6853","-0.11%"
